"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Antal tests pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2026-07-07T11:15:03.729"
INFLA;2015/2016;2015-U40;1084;Hovedstaden;85+;K;23924;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;85+;M;10521;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;Alle;1780215;101;0;0;0;0,00;0,00;5,67;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;K;908661;46;0;0;0;0,00;0,00;5,06;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;M;871554;55;0;0;0;0,00;0,00;6,31;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;Alle;26353;13;0;0;0;0,00;0,00;49,33;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;K;12863;6;0;0;0;0,00;0,00;46,65;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;M;13490;7;0;0;0;0,00;0,00;51,89;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;02-06;Alle;73319;4;0;0;0;0,00;0,00;5,46;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;02-06;K;35730;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;02-06;M;37589;4;0;0;0;0,00;0,00;10,64;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;07-14;Alle;126265;2;0;0;0;0,00;0,00;1,58;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;07-14;K;61986;2;0;0;0;0,00;0,00;3,23;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;07-14;M;64279;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;15-44;Alle;495026;11;0;0;0;0,00;0,00;2,22;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;15-44;K;242726;6;0;0;0;0,00;0,00;2,47;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;15-44;M;252300;5;0;0;0;0,00;0,00;1,98;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;45-64;Alle;338114;11;0;0;0;0,00;0,00;3,25;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;45-64;K;168293;7;0;0;0;0,00;0,00;4,16;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;45-64;M;169821;4;0;0;0;0,00;0,00;2,36;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;65-74;Alle;138675;6;0;0;0;0,00;0,00;4,33;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;65-74;K;70300;3;0;0;0;0,00;0,00;4,27;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;65-74;M;68375;3;0;0;0;0,00;0,00;4,39;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;75-84;Alle;68770;3;0;0;0;0,00;0,00;4,36;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;75-84;K;37734;2;0;0;0;0,00;0,00;5,30;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;75-84;M;31036;1;0;0;0;0,00;0,00;3,22;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;85+;Alle;25869;1;0;0;0;0,00;0,00;3,87;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;85+;K;17098;1;0;0;0;0,00;0,00;5,85;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;85+;M;8771;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;Alle;Alle;1292391;51;0;0;0;0,00;0,00;3,95;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;Alle;K;646730;27;0;0;0;0,00;0,00;4,17;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;Alle;M;645661;24;0;0;0;0,00;0,00;3,72;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;00-01;Alle;10808;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;00-01;K;5290;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;00-01;M;5518;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;02-06;Alle;30180;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;02-06;K;14686;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;02-06;M;15494;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;07-14;Alle;53881;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;07-14;K;26131;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;07-14;M;27750;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;15-44;Alle;212557;2;0;0;0;0,00;0,00;0,94;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;15-44;K;101862;2;0;0;0;0,00;0,00;1,96;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;15-44;M;110695;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;45-64;Alle;159508;2;0;0;0;0,00;0,00;1,25;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;45-64;K;79258;2;0;0;0;0,00;0,00;2,52;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;45-64;M;80250;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;65-74;Alle;69994;1;0;0;0;0,00;0,00;1,43;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;65-74;K;35329;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;65-74;M;34665;1;0;0;0;0,00;0,00;2,88;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;75-84;Alle;35712;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;75-84;K;19448;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;75-84;M;16264;0;0;0;0;0,00;0,00;0,00;0,00;
