"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-06-24T11:25:02.299"
RSV;2015/2016;2015-U40;1084;Hovedstaden;02. 6-11 måneder;M;4743;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;Alle;19093;3;1;1;0;0,33;5,24;15,71;5,24;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;K;9308;1;1;1;0;1,00;10,74;10,74;10,74;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;M;9785;2;0;0;0;0,00;0,00;20,44;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;04. 2 år;Alle;19087;4;0;0;0;0,00;0,00;20,96;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;04. 2 år;K;9270;2;0;0;0;0,00;0,00;21,57;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;04. 2 år;M;9817;2;0;0;0;0,00;0,00;20,37;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;05. 3-5 år;Alle;60619;3;0;0;0;0,00;0,00;4,95;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;05. 3-5 år;K;29632;1;0;0;0;0,00;0,00;3,37;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;05. 3-5 år;M;30987;2;0;0;0;0,00;0,00;6,45;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;06. 6-14 år;Alle;187929;5;0;0;0;0,00;0,00;2,66;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;06. 6-14 år;K;92399;2;0;0;0;0,00;0,00;2,16;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;06. 6-14 år;M;95530;3;0;0;0;0,00;0,00;3,14;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;07. 15-44 år;Alle;796749;18;0;0;0;0,00;0,00;2,26;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;07. 15-44 år;K;402190;7;0;0;0;0,00;0,00;1,74;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;07. 15-44 år;M;394559;11;0;0;0;0,00;0,00;2,79;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;08. 45-64 år;Alle;414716;15;1;1;0;0,07;0,24;3,62;0,24;
