"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;1084;Hovedstaden;08. 45-64 år;Alle;478255;155;0;0;0;0,00;0,00;32,41;0,00;
RSV;1084;Hovedstaden;08. 45-64 år;K;241352;79;0;0;0;0,00;0,00;32,73;0,00;
RSV;1084;Hovedstaden;08. 45-64 år;M;236903;76;0;0;0;0,00;0,00;32,08;0,00;
RSV;1084;Hovedstaden;09. 65-74 år;Alle;167593;94;0;0;0;0,00;0,00;56,09;0,00;
RSV;1084;Hovedstaden;09. 65-74 år;K;88014;47;0;0;0;0,00;0,00;53,40;0,00;
RSV;1084;Hovedstaden;09. 65-74 år;M;79579;47;0;0;0;0,00;0,00;59,06;0,00;
RSV;1084;Hovedstaden;10. 75-84 år;Alle;132568;126;0;0;0;0,00;0,00;95,05;0,00;
RSV;1084;Hovedstaden;10. 75-84 år;K;74253;64;0;0;0;0,00;0,00;86,19;0,00;
RSV;1084;Hovedstaden;10. 75-84 år;M;58315;62;0;0;0;0,00;0,00;106,32;0,00;
RSV;1084;Hovedstaden;11. 85+ år;Alle;41757;63;0;0;0;0,00;0,00;150,87;0,00;
RSV;1084;Hovedstaden;11. 85+ år;K;27030;40;0;0;0;0,00;0,00;147,98;0,00;
RSV;1084;Hovedstaden;11. 85+ år;M;14727;23;0;0;0;0,00;0,00;156,18;0,00;
RSV;1084;Hovedstaden;Alle;Alle;1930409;664;0;0;0;0,00;0,00;34,40;0,00;
RSV;1084;Hovedstaden;Alle;K;983275;348;0;0;0;0,00;0,00;35,39;0,00;
RSV;1084;Hovedstaden;Alle;M;947134;316;0;0;0;0,00;0,00;33,36;0,00;
RSV;1082;Midtjylland;01. 0-5 måneder;Alle;6678;3;0;0;0;0,00;0,00;44,92;0,00;
RSV;1082;Midtjylland;01. 0-5 måneder;K;3219;1;0;0;0;0,00;0,00;31,07;0,00;
RSV;1082;Midtjylland;01. 0-5 måneder;M;3459;2;0;0;0;0,00;0,00;57,82;0,00;
RSV;1082;Midtjylland;02. 6-11 måneder;Alle;6915;2;0;0;0;0,00;0,00;28,92;0,00;
RSV;1082;Midtjylland;02. 6-11 måneder;K;3348;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1082;Midtjylland;02. 6-11 måneder;M;3567;2;0;0;0;0,00;0,00;56,07;0,00;
RSV;1082;Midtjylland;03. 1 år;Alle;13886;1;0;0;0;0,00;0,00;7,20;0,00;
RSV;1082;Midtjylland;03. 1 år;K;6782;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1082;Midtjylland;03. 1 år;M;7104;1;0;0;0;0,00;0,00;14,08;0,00;
RSV;1082;Midtjylland;04. 2 år;Alle;14281;1;0;0;0;0,00;0,00;7,00;0,00;
RSV;1082;Midtjylland;04. 2 år;K;6966;0;0;0;0;0,00;0,00;0,00;0,00;
