"Dato";"Sidste opdatering";"Sygdom";"Sæson";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal førstegangstestede personer";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Incidens";"Testrate";"Indlæggelsesrate";"timestamp_2026-02-24T12:52:02.349"
2026-02-24;2026-02-17;RSV;2019/2020;1082;Midtjylland;11. 85+ år;M;6628;106;118;2;2;0;0,02;30,18;1599,28;30,18;
2026-02-24;2026-02-17;RSV;2019/2020;1082;Midtjylland;Alle;Alle;1316114;4178;4651;624;336;5;0,15;47,41;317,45;25,53;
2026-02-24;2026-02-17;RSV;2019/2020;1082;Midtjylland;Alle;K;659591;2026;2203;304;163;1;0,15;46,09;307,16;24,71;
2026-02-24;2026-02-17;RSV;2019/2020;1082;Midtjylland;Alle;M;656523;2152;2448;320;173;4;0,15;48,74;327,79;26,35;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;01. 0-5 måneder;Alle;2885;210;231;114;97;1;0,54;3951,47;7279,03;3362,22;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;01. 0-5 måneder;K;1420;91;97;51;41;1;0,56;3591,55;6408,45;2887,32;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;01. 0-5 måneder;M;1465;119;134;63;56;0;0,53;4300,34;8122,87;3822,53;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;02. 6-11 måneder;Alle;3129;71;82;42;34;0;0,59;1342,28;2269,10;1086,61;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;02. 6-11 måneder;K;1507;25;25;13;8;0;0,52;862,64;1658,93;530,86;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;02. 6-11 måneder;M;1622;46;57;29;26;0;0,63;1787,92;2836,00;1602,96;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;03. 1 år;Alle;6055;95;110;39;28;1;0,41;644,10;1568,95;462,43;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;03. 1 år;K;2909;43;48;18;14;0;0,42;618,77;1478,17;481,27;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;03. 1 år;M;3146;52;62;21;14;1;0,40;667,51;1652,89;445,01;
