"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"Antal testede";"Antal positive";"Positiv procent";"timestamp_2026-09-01T11:40:01.667"
2025-U38;12-15;16;0;0,0;41;1;2,4;
2025-U38;16-19;24;1;0,7;69;4;5,8;
2025-U38;20-39;20;2;0,4;313;26;8,3;
2025-U38;40-64;35;3;0,5;655;48;7,3;
2025-U38;65-79;77;6;2,9;698;54;7,7;
2025-U38;80+;154;14;11,1;543;50;9,2;
2025-U39;00-02;73;6;2,3;127;10;7,9;
2025-U39;03-05;11;0;0,0;20;0;0,0;
2025-U39;06-11;8;0;0,0;29;0;0,0;
2025-U39;12-15;17;1;0,0;44;2;4,6;
2025-U39;16-19;21;1;0,4;59;2;3,4;
2025-U39;20-39;22;2;0,4;346;31;9,0;
2025-U39;40-64;36;3;1,0;673;53;7,9;
2025-U39;65-79;75;5;2,9;686;48;7,0;
2025-U39;80+;159;14;10,8;562;50;8,9;
2025-U40;00-02;79;5;1,1;138;8;5,8;
2025-U40;03-05;18;1;0,0;34;1;2,9;
2025-U40;06-11;10;1;0,3;37;2;5,4;
2025-U40;12-15;18;1;0,0;46;3;6,5;
2025-U40;16-19;26;1;0,4;72;4;5,6;
2025-U40;20-39;23;1;0,5;363;23;6,3;
2025-U40;40-64;35;2;0,5;666;40;6,0;
2025-U40;65-79;84;7;3,5;766;63;8,2;
2025-U40;80+;173;16;13,0;609;56;9,2;
2025-U41;00-02;78;7;1,1;136;12;8,8;
2025-U41;03-05;14;0;0,0;26;0;0,0;
2025-U41;06-11;15;0;0,0;56;0;0,0;
2025-U41;12-15;18;0;0,0;46;1;2,2;
2025-U41;16-19;23;1;0,0;64;2;3,1;
2025-U41;20-39;25;2;0,4;396;34;8,6;
2025-U41;40-64;40;3;0,9;760;56;7,4;
2025-U41;65-79;87;7;3,1;790;64;8,1;
2025-U41;80+;195;21;15,8;691;74;10,7;
2025-U42;00-02;77;7;1,1;134;13;9,7;
2025-U42;03-05;15;0;0,0;29;0;0,0;
2025-U42;06-11;6;0;0,0;24;1;4,2;
2025-U42;12-15;9;0;0,0;22;0;0,0;
2025-U42;16-19;17;1;0,0;49;4;8,2;
2025-U42;20-39;22;1;0,1;352;19;5,4;
2025-U42;40-64;35;3;0,9;657;49;7,5;
2025-U42;65-79;90;9;5,9;815;83;10,2;
2025-U42;80+;191;16;13,2;678;56;8,3;
2025-U43;00-02;60;5;1,1;105;9;8,6;
2025-U43;03-05;13;0;0,0;25;0;0,0;
2025-U43;06-11;12;1;0,0;46;3;6,5;
2025-U43;12-15;19;0;0,0;48;0;0,0;
2025-U43;16-19;22;1;0,0;63;2;3,2;
2025-U43;20-39;24;1;0,1;370;20;5,4;
2025-U43;40-64;42;2;0,7;785;43;5,5;
2025-U43;65-79;100;7;4,3;913;68;7,5;
2025-U43;80+;188;13;9,6;667;47;7,1;
2025-U44;00-02;69;8;1,1;121;14;11,6;
2025-U44;03-05;14;0;0,0;26;0;0,0;
2025-U44;06-11;11;0;0,3;41;1;2,4;
2025-U44;12-15;16;1;0,4;41;2;4,9;
2025-U44;16-19;21;1;0,0;58;2;3,5;
2025-U44;20-39;21;1;0,3;334;19;5,7;
2025-U44;40-64;38;2;0,7;720;37;5,1;
2025-U44;65-79;92;5;3,5;840;48;5,7;
2025-U44;80+;185;14;12,4;656;51;7,8;
2025-U45;00-02;66;5;2,3;116;9;7,8;
2025-U45;03-05;17;1;0,0;32;2;6,3;
2025-U45;06-11;11;0;0,3;43;0;0,0;
2025-U45;12-15;22;1;0,0;56;3;5,4;
2025-U45;16-19;23;1;0,4;64;2;3,1;
2025-U45;20-39;25;2;0,3;389;26;6,7;
2025-U45;40-64;39;1;0,4;734;25;3,4;
2025-U45;65-79;79;4;2,6;723;35;4,8;
2025-U45;80+;172;12;9,5;612;42;6,9;
2025-U46;00-02;90;5;2,9;157;8;5,1;
2025-U46;03-05;18;1;1,1;33;2;6,1;
2025-U46;06-11;14;0;0,0;53;1;1,9;
2025-U46;12-15;19;0;0,0;48;0;0,0;
2025-U46;16-19;21;1;0,4;60;2;3,3;
2025-U46;20-39;24;1;0,2;374;21;5,6;
2025-U46;40-64;35;2;0,5;652;35;5,4;
2025-U46;65-79;84;4;1,8;764;32;4,2;
2025-U46;80+;163;8;5,9;581;28;4,8;
2025-U47;00-02;74;5;1,1;129;9;7,0;
2025-U47;03-05;14;0;0,0;27;0;0,0;
2025-U47;06-11;15;1;0,5;57;5;8,8;
2025-U47;12-15;17;2;0,0;43;4;9,3;
2025-U47;16-19;26;1;0,0;74;2;2,7;
2025-U47;20-39;25;1;0,3;388;20;5,2;
2025-U47;40-64;39;2;0,3;731;33;4,5;
2025-U47;65-79;84;4;2,9;764;34;4,5;
2025-U47;80+;170;7;5,0;606;26;4,3;
2025-U48;00-02;95;7;1,7;166;13;7,8;
2025-U48;03-05;28;2;1,1;52;4;7,7;
2025-U48;06-11;22;1;0,3;83;5;6,0;
2025-U48;12-15;22;1;0,0;56;2;3,6;
2025-U48;16-19;24;0;0,0;67;1;1,5;
2025-U48;20-39;26;2;0,4;410;35;8,5;
2025-U48;40-64;39;2;1,0;733;43;5,9;
2025-U48;65-79;92;4;2,3;839;33;3,9;
2025-U48;80+;195;9;8,7;695;33;4,8;
2025-U49;00-02;132;18;5,7;231;32;13,9;
2025-U49;03-05;32;1;0,0;60;1;1,7;
2025-U49;06-11;27;3;0,0;103;13;12,6;
2025-U49;12-15;31;2;0,8;80;4;5,0;
2025-U49;16-19;41;1;0,0;115;3;2,6;
2025-U49;20-39;33;3;0,6;514;45;8,8;
2025-U49;40-64;48;3;0,8;907;59;6,5;
2025-U49;65-79;105;5;3,8;953;50;5,3;
2025-U49;80+;216;13;8,9;774;48;6,2;
2025-U50;00-02;142;17;4,6;249;29;11,7;
2025-U50;03-05;56;7;1,6;105;13;12,4;
2025-U50;06-11;36;4;0,3;134;14;10,5;
2025-U50;12-15;29;1;0,0;74;3;4,1;
2025-U50;16-19;44;2;0,4;126;6;4,8;
2025-U50;20-39;35;3;0,4;556;53;9,5;
2025-U50;40-64;53;4;0,7;1002;72;7,2;
2025-U50;65-79;119;6;3,6;1079;59;5,5;
2025-U50;80+;239;15;9,5;857;53;6,2;
2025-U51;00-02;169;27;6,3;297;48;16,2;
2025-U51;03-05;57;7;2,1;107;13;12,2;
2025-U51;06-11;35;5;0,0;132;17;12,9;
2025-U51;12-15;40;2;0,0;102;6;5,9;
2025-U51;16-19;42;2;0,0;119;5;4,2;
2025-U51;20-39;37;3;0,6;580;51;8,8;
2025-U51;40-64;55;4;0,9;1042;72;6,9;
2025-U51;65-79;128;7;3,8;1163;63;5,4;
2025-U51;80+;269;17;12,6;962;60;6,2;
2025-U52;00-02;129;28;10,3;227;49;21,6;
2025-U52;03-05;45;3;0,0;84;6;7,1;
2025-U52;06-11;18;2;0,3;66;6;9,1;
2025-U52;12-15;16;1;0,8;42;3;7,1;
2025-U52;16-19;23;1;0,0;64;2;3,1;
2025-U52;20-39;23;2;0,5;368;29;7,9;
2025-U52;40-64;38;2;1,1;720;39;5,4;
2025-U52;65-79;111;6;4,2;1014;52;5,1;
2025-U52;80+;260;15;13,1;931;55;5,9;
2026-U01;00-02;128;20;5,7;224;35;15,6;
2026-U01;03-05;19;1;0,0;36;2;5,6;
2026-U01;06-11;12;1;0,3;45;2;4,4;
2026-U01;12-15;17;0;0,0;43;1;2,3;
2026-U01;16-19;24;1;0,4;69;2;2,9;
2026-U01;20-39;24;2;0,4;384;25;6,5;
2026-U01;40-64;47;2;1,1;884;44;5,0;
2026-U01;65-79;135;4;2,7;1225;40;3,3;
2026-U01;80+;321;14;10,6;1151;50;4,3;
2026-U02;00-02;99;13;4,6;174;22;12,6;
2026-U02;03-05;27;1;1,1;51;2;3,9;
2026-U02;06-11;23;1;0,5;85;5;5,9;
2026-U02;12-15;24;0;0,4;61;1;1,6;
2026-U02;16-19;49;2;0,0;140;6;4,3;
2026-U02;20-39;34;1;0,5;540;19;3,5;
2026-U02;40-64;63;2;0,7;1188;39;3,3;
2026-U02;65-79;137;5;3,3;1243;41;3,3;
2026-U02;80+;313;11;9,2;1124;40;3,6;
2026-U03;00-02;186;17;3,4;326;29;8,9;
2026-U03;03-05;54;5;0,5;101;9;8,9;
2026-U03;06-11;35;1;0,3;132;5;3,8;
2026-U03;12-15;31;0;0,4;80;1;1,3;
2026-U03;16-19;43;1;0,7;121;3;2,5;
2026-U03;20-39;34;1;0,3;532;22;4,1;
2026-U03;40-64;55;1;0,4;1043;26;2,5;
2026-U03;65-79;126;1;0,8;1150;12;1,0;
2026-U03;80+;298;6;4,7;1073;22;2,1;
2026-U04;00-02;231;19;4,0;404;33;8,2;
2026-U04;03-05;81;2;0,0;152;3;2,0;
2026-U04;06-11;49;2;0,5;183;8;4,4;
2026-U04;12-15;42;1;0,0;108;2;1,9;
2026-U04;16-19;50;1;0,0;141;3;2,1;
2026-U04;20-39;40;1;0,2;633;20;3,2;
2026-U04;40-64;60;2;0,8;1136;35;3,1;
2026-U04;65-79;142;3;2,3;1290;26;2,0;
2026-U04;80+;319;8;7,0;1146;30;2,6;
2026-U05;00-02;262;15;5,1;459;27;5,9;
2026-U05;03-05;80;3;1,1;150;6;4,0;
2026-U05;06-11;53;1;0,3;199;3;1,5;
2026-U05;12-15;51;2;0,4;130;5;3,9;
2026-U05;16-19;62;1;0,4;177;2;1,1;
2026-U05;20-39;50;2;0,3;792;28;3,5;
2026-U05;40-64;76;2;0,6;1434;29;2,0;
2026-U05;65-79;161;2;1,5;1465;20;1,4;
2026-U05;80+;347;7;6,1;1248;25;2,0;
2026-U06;00-02;269;8;4,0;471;14;3,0;
2026-U06;03-05;105;2;0,0;196;4;2,0;
2026-U06;06-11;52;1;0,0;195;4;2,1;
2026-U06;12-15;52;2;0,0;133;6;4,5;
2026-U06;16-19;49;0;0,0;140;1;0,7;
2026-U06;20-39;55;1;0,1;876;12;1,4;
2026-U06;40-64;85;1;0,5;1608;23;1,4;
2026-U06;65-79;192;3;1,6;1749;27;1,5;
2026-U06;80+;432;7;7,2;1560;27;1,7;
2026-U07;00-02;284;8;2,3;498;14;2,8;
2026-U07;03-05;66;0;0,0;123;0;0,0;
2026-U07;06-11;40;1;0,3;149;5;3,4;
2026-U07;12-15;29;1;0,4;74;2;2,7;
2026-U07;16-19;38;0;0,0;107;1;0,9;
2026-U07;20-39;58;1;0,3;920;14;1,5;
2026-U07;40-64;88;1;0,2;1658;16;1,0;
2026-U07;65-79;214;2;1,8;1948;21;1,1;
2026-U07;80+;452;5;4,4;1631;19;1,2;
2026-U08;00-02;250;5;0,6;439;8;1,8;
2026-U08;03-05;61;0;0,0;114;0;0,0;
2026-U08;06-11;28;0;0,3;107;0;0,0;
2026-U08;12-15;34;1;0,0;87;2;2,3;
2026-U08;16-19;48;1;0,0;137;4;2,9;
2026-U08;20-39;49;1;0,1;769;12;1,6;
2026-U08;40-64;81;0;0,2;1516;9;0,6;
